2017-10-10 01:12:47 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2017-10-10 01:12:47 install libgnutls-deb0-28:amd64 <none> 3.3.8-6+deb8u7
2017-10-10 01:12:47 status half-installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:47 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:47 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:47 install libkeyutils1:amd64 <none> 1.5.9-5+b1
2017-10-10 01:12:47 status half-installed libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:47 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:47 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:47 install libkrb5support0:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status half-installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 install libk5crypto3:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status half-installed libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 install libkrb5-3:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status half-installed libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 install libgssapi-krb5-2:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status half-installed libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:47 install libidn11:amd64 <none> 1.29-1+deb8u2
2017-10-10 01:12:47 status half-installed libidn11:amd64 1.29-1+deb8u2
2017-10-10 01:12:47 status unpacked libidn11:amd64 1.29-1+deb8u2
2017-10-10 01:12:47 status unpacked libidn11:amd64 1.29-1+deb8u2
2017-10-10 01:12:47 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2017-10-10 01:12:47 install libldap-2.4-2:amd64 <none> 2.4.40+dfsg-1+deb8u3
2017-10-10 01:12:47 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2017-10-10 01:12:47 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2017-10-10 01:12:47 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2017-10-10 01:12:47 install libmagic1:amd64 <none> 1:5.22+15-2+deb8u3
2017-10-10 01:12:47 status half-installed libmagic1:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:47 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:47 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:47 install libsqlite3-0:amd64 <none> 3.8.7.1-1+deb8u2
2017-10-10 01:12:47 status half-installed libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-10-10 01:12:47 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-10-10 01:12:47 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-10-10 01:12:47 install libxml2:amd64 <none> 2.9.1+dfsg1-5+deb8u5
2017-10-10 01:12:47 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u5
2017-10-10 01:12:47 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u5
2017-10-10 01:12:47 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u5
2017-10-10 01:12:47 install perl-modules:all <none> 5.20.2-3+deb8u9
2017-10-10 01:12:47 status half-installed perl-modules:all 5.20.2-3+deb8u9
2017-10-10 01:12:48 status unpacked perl-modules:all 5.20.2-3+deb8u9
2017-10-10 01:12:48 status unpacked perl-modules:all 5.20.2-3+deb8u9
2017-10-10 01:12:48 install perl:amd64 <none> 5.20.2-3+deb8u9
2017-10-10 01:12:48 status half-installed perl:amd64 5.20.2-3+deb8u9
2017-10-10 01:12:48 status unpacked perl:amd64 5.20.2-3+deb8u9
2017-10-10 01:12:48 status unpacked perl:amd64 5.20.2-3+deb8u9
2017-10-10 01:12:48 install libasan1:amd64 <none> 4.9.2-10
2017-10-10 01:12:48 status half-installed libasan1:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libasan1:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libasan1:amd64 4.9.2-10
2017-10-10 01:12:48 install libatomic1:amd64 <none> 4.9.2-10
2017-10-10 01:12:48 status half-installed libatomic1:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libatomic1:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libatomic1:amd64 4.9.2-10
2017-10-10 01:12:48 install libcilkrts5:amd64 <none> 4.9.2-10
2017-10-10 01:12:48 status half-installed libcilkrts5:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libcilkrts5:amd64 4.9.2-10
2017-10-10 01:12:48 status unpacked libcilkrts5:amd64 4.9.2-10
2017-10-10 01:12:48 install libisl10:amd64 <none> 0.12.2-2
2017-10-10 01:12:48 status half-installed libisl10:amd64 0.12.2-2
2017-10-10 01:12:49 status unpacked libisl10:amd64 0.12.2-2
2017-10-10 01:12:49 status unpacked libisl10:amd64 0.12.2-2
2017-10-10 01:12:49 install libcloog-isl4:amd64 <none> 0.18.2-1+b2
2017-10-10 01:12:49 status half-installed libcloog-isl4:amd64 0.18.2-1+b2
2017-10-10 01:12:49 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2017-10-10 01:12:49 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2017-10-10 01:12:49 install librtmp1:amd64 <none> 2.4+20150115.gita107cef-1+deb8u1
2017-10-10 01:12:49 status half-installed librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2017-10-10 01:12:49 status unpacked librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2017-10-10 01:12:49 status unpacked librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2017-10-10 01:12:49 install libssh2-1:amd64 <none> 1.4.3-4.1+deb8u1
2017-10-10 01:12:49 status half-installed libssh2-1:amd64 1.4.3-4.1+deb8u1
2017-10-10 01:12:49 status unpacked libssh2-1:amd64 1.4.3-4.1+deb8u1
2017-10-10 01:12:49 status unpacked libssh2-1:amd64 1.4.3-4.1+deb8u1
2017-10-10 01:12:49 install libcurl3:amd64 <none> 7.38.0-4+deb8u6
2017-10-10 01:12:49 status half-installed libcurl3:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:49 status unpacked libcurl3:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:49 status unpacked libcurl3:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:49 install libglib2.0-0:amd64 <none> 2.42.1-1+b1
2017-10-10 01:12:49 status half-installed libglib2.0-0:amd64 2.42.1-1+b1
2017-10-10 01:12:49 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2017-10-10 01:12:49 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2017-10-10 01:12:49 install libgomp1:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed libgomp1:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libgomp1:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libgomp1:amd64 4.9.2-10
2017-10-10 01:12:49 install libitm1:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed libitm1:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libitm1:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libitm1:amd64 4.9.2-10
2017-10-10 01:12:49 install liblsan0:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed liblsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked liblsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked liblsan0:amd64 4.9.2-10
2017-10-10 01:12:49 install libmpfr4:amd64 <none> 3.1.2-2
2017-10-10 01:12:49 status half-installed libmpfr4:amd64 3.1.2-2
2017-10-10 01:12:49 status unpacked libmpfr4:amd64 3.1.2-2
2017-10-10 01:12:49 status unpacked libmpfr4:amd64 3.1.2-2
2017-10-10 01:12:49 install libpcrecpp0:amd64 <none> 2:8.35-3.3+deb8u4
2017-10-10 01:12:49 status half-installed libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:49 status unpacked libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:49 status unpacked libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:49 install libquadmath0:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed libquadmath0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libquadmath0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libquadmath0:amd64 4.9.2-10
2017-10-10 01:12:49 install libsigsegv2:amd64 <none> 2.10-4+b1
2017-10-10 01:12:49 status half-installed libsigsegv2:amd64 2.10-4+b1
2017-10-10 01:12:49 status unpacked libsigsegv2:amd64 2.10-4+b1
2017-10-10 01:12:49 status unpacked libsigsegv2:amd64 2.10-4+b1
2017-10-10 01:12:49 install libtsan0:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed libtsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libtsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libtsan0:amd64 4.9.2-10
2017-10-10 01:12:49 install libubsan0:amd64 <none> 4.9.2-10
2017-10-10 01:12:49 status half-installed libubsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libubsan0:amd64 4.9.2-10
2017-10-10 01:12:49 status unpacked libubsan0:amd64 4.9.2-10
2017-10-10 01:12:49 install libmpc3:amd64 <none> 1.0.2-1
2017-10-10 01:12:49 status half-installed libmpc3:amd64 1.0.2-1
2017-10-10 01:12:49 status unpacked libmpc3:amd64 1.0.2-1
2017-10-10 01:12:49 status unpacked libmpc3:amd64 1.0.2-1
2017-10-10 01:12:49 install bzip2:amd64 <none> 1.0.6-7+b3
2017-10-10 01:12:49 status half-installed bzip2:amd64 1.0.6-7+b3
2017-10-10 01:12:49 status unpacked bzip2:amd64 1.0.6-7+b3
2017-10-10 01:12:49 status unpacked bzip2:amd64 1.0.6-7+b3
